"question","answer","type","points","media_url","category","difficulty","answer_mode","question_format","approved","options"
"The 'Poodle Skirt,' an iconic 1950s fashion piece, was most commonly made from what non-woven fabric?","Felt","text","1","","General Knowledge","medium","mcq","standard","false","Leather|Felt|Satin|Denim"
"The iconic bat on the Bacardi logo was inspired by what creatures found in the distillery?","Fruit bats","text","1","","General Knowledge","medium","mcq","standard","false","Fruit bats|Little brown bats|Flying foxes|Vampire bats"
"The metal band that secures the eraser to the end of a pencil is called a what?","Ferrule","text","1","","General Knowledge","medium","mcq","standard","false","Ferrule|Caplet|Aglet|Collar"
"The casual 'espadrille' shoe is traditionally defined by having a sole made from what kind of rope?","Jute","text","1","","General Knowledge","medium","mcq","standard","false","Nylon|Cotton|Sisal|Jute"
"'Poäng' is a classic IKEA armchair. In Swedish, what does the word 'po÷ng' actually mean?","Point or punchline","text","1","","General Knowledge","medium","mcq","standard","false","Wood|Simplicity|Point or punchline|Comfort"
"Which South American country has the capital city of Quito?","Ecuador","text","1","","Geography","medium","both","standard","false","Colombia|Ecuador|Paraguay|Guyana"
"Until 2011, the flag of which nation was unique for consisting of a single, solid green color?","Libya","text","1","","Geography","medium","mcq","standard","false","Mauritania|Pakistan|Libya|Saudi Arabia"
"Which UNESCO World Heritage site is located on the coast of Northern Ireland?","Giant's Causeway","text","1","","Geography","medium","mcq","standard","false","Giant's Causeway|Durdle Door|Fingal's Cave|Old Man of Hoy"
"What is the capital city of Bangladesh?","Dhaka","text","1","","Geography","medium","text","standard","false",""
"Which river flows through Vienna and Budapest?","Danube","text","1","","Geography","medium","text","standard","false",""
"Which English county boasts the longest coastline, stretching over 400 miles?","Cornwall","text","1","","Geography","medium","mcq","standard","false","Kent|Cornwall|Devon|Yorkshire"
"Which city is located farther west?","Reykjavik, Iceland","text","1","","Geography","medium","mcq","standard","false","Reykjavik, Iceland|Lisbon, Portugal|Dublin, Ireland|Dakar, Senegal"
"Which of these European nations shares a border with Germany?","Luxembourg","text","1","","Geography","medium","mcq","standard","false","Romania|Hungary|Slovakia|Luxembourg"
"What is the capital city of Venezuela?","Caracas","text","1","","Geography","medium","text","standard","false",""
"Which of these countries shares a border with the South American territory French Guiana?","Brazil","text","1","","Geography","medium","mcq","standard","false","Guyana|Brazil|Colombia|Venezuela"
"What type of U-shaped lake forms when a wide meander from a river is cut off?","Oxbow lake","text","1","","Geography","medium","mcq","standard","false","Oxbow lake|Crater lake|Tarn|Kettle lake"
"How many passenger capsules are there on the London Eye observation wheel?","32","text","1","","Geography","medium","mcq","standard","false","30|32|24|40"
"Which came first, the first FIFA World Cup or the first Academy Awards ceremony?","Academy Awards (1929 vs 1930)","text","1","","History","medium","text","standard","false",""
"Which of the following sculptures was made by Auguste Rodin?","The Thinker","text","1","","History","medium","mcq","standard","false","La Pieta|The Venus de Milo|The Thinker|The Little Mermaid"
"Bank of America was originally founded in 1904 under what name, to serve immigrants in San Francisco?","Bank of Italy","text","1","","History","medium","mcq","standard","false","Bank of California|Bank of the West|Bank of Italy|Bank of San Francisco"
"What was the surprising first role of Ugandan dictator Idi Amin in the British colonial army?","An assistant cook","text","1","","History","medium","mcq","standard","false","An assistant cook|A radio operator|A vehicle mechanic|An infantry scout"
"What small, golden item, a traditional symbol of peace, did the Apollo 11 crew leave on the Moon?","An olive branch","text","1","","History","medium","mcq","standard","false","A peace sign medallion|A dove feather|A white rose|An olive branch"
"Which Egyptian queen was famously associated with Julius Caesar and Mark Antony?","Cleopatra","text","1","","History","medium","text","standard","false",""
"Argentina's influential First Lady, Eva Perón, first gained fame in what line of work?","Radio soap opera actress","text","1","","History","medium","mcq","standard","false","Tango dancer|Radio soap opera actress|Fashion model|Stage magician's assistant"
"When Captain James Cook first charted Hawaii, what title did he give to the archipelago?","The Sandwich Islands","text","1","","History","medium","mcq","standard","false","The Aloha Isles|The Paradise Isles|The Sandwich Islands|The Polynesian Isles"
"What is the surname of the author that wrote Charlie and the Chocolate Factory?","Dahl","text","1","","Literature","medium","text","standard","false",""
"What is the name of the author who wrote A Christmas Carol?","Charles Dickens","text","1","","Literature","medium","text","standard","false",""
"Annie Wilkes, the unhinged fan who imprisons her favorite novelist in the film Misery is played by which actor?","Kathy Bates","text","1","","Movies","medium","text","standard","false",""
"What type of arachnid famously crawls on Sean Connery's chest in a tense scene in 'Dr. No'?","A common tarantula","text","1","","Movies","medium","mcq","standard","false","A funnel-web spider|A common tarantula|A brown recluse|A black widow"
"What is E.T.'s favorite candy, which Elliot uses to lure the alien out of hiding?","Reese's Pieces","text","1","","Movies","medium","mcq","standard","false","Reese's Pieces|Jelly Beans|M&Ms|Skittles"
"Which movie ends with Average Joe's defeating the Purple Cobras?","Dodgeball","text","1","","Movies","medium","text","standard","false",""
"Whitney Houston and Mariah Carey's duet was created for which animated film's soundtrack?","The Prince of Egypt","text","1","","Movies","medium","mcq","standard","false","Anastasia|Mulan|The Prince of Egypt|Pocahontas"
"Which 1992 film featured Whitney Houston's massive hit ""I Will Always Love You""?","The Bodyguard","text","1","","Movies","medium","text","standard","false",""
"Hannibal Lecter, the psychiatrist and cannibal who helps catch another serial killer in The Silence of the Lambs is played by which actor?","Anthony Hopkins","text","1","","Movies","medium","text","standard","false",""
"The Sith Lord Darth Vader who enforces the Galactic Empire in The Empire Strikes Back is played by which actor?","David Prowse","text","1","","Movies","medium","text","standard","false",""
"Alex Forrest, the obsessive lover who terrorizes a married man's family in Fatal Attraction is played by which actor?","Glenn Close","text","1","","Movies","medium","text","standard","false",""
"Alex DeLarge, the charismatic delinquent who revels in ultraviolence in A Clockwork Orange is played by which actor?","Malcolm McDowell","text","1","","Movies","medium","text","standard","false",""
"Amon Goeth, the sadistic Nazi commandant in Schindler's List is played by which actor?","Ralph Fiennes","text","1","","Movies","medium","text","standard","false",""
"Travis Bickle, the alienated veteran whose vigilantism turns violent in Taxi Driver is played by which actor?","Robert De Niro","text","1","","Movies","medium","text","standard","false",""
"Harry Lime, a charming racketeer profiting from diluted penicillin in The Third Man is played by which actor?","Orson Welles","text","1","","Movies","medium","text","standard","false",""
"Freddy Krueger, the dream-stalking killer with razor-gloved hands in A Nightmare on Elm Street is played by which actor?","Robert Englund","text","1","","Movies","medium","text","standard","false",""
"Verbal Kint, a deceptive storyteller hiding a criminal mastermind in The Usual Suspects is played by which actor?","Kevin Spacey","text","1","","Movies","medium","text","standard","false",""
"Which actor played the young Vito Corleone in 'The Godfather Part II,' winning an Oscar for a role mostly in Sicilian?","Robert De Niro","text","1","","Movies","medium","mcq","standard","false","Al Pacino|Robert De Niro|James Caan|Marlon Brando"
"What was the official name of the mechanical shark that malfunctioned constantly during the filming of 'Jaws'?","Bruce","text","1","","Movies","medium","mcq","standard","false","Wally|Leonard|Bruce|Sharky"
"In the song 'Tik Tok', Kesha kicks dudes to the curb unless they look like which musician?","Mick Jagger","text","1","","Music","medium","mcq","standard","false","John Mayer|James Taylor|Steven Tyler|Mick Jagger"
"Which singer born in London had the alter-ego Ziggy Stardust?","David Bowie","text","1","","Music","medium","text","standard","false",""
"Robert ""Mutt"" Lange produced albums for many bands, including AC/DC and Def Leppard. Which famous musician did he marry in 1993?","Shania Twain","text","1","","Music","medium","text","standard","false",""
"Released in 1999 and selling over 15 million copies, this album is the Red Hot Chili Peppers' most commercially successful.","Californication","text","1","","Music","medium","text","standard","false",""
"Stone Temple Pilots signed with Atlantic Records in 1992. In which city in California did the band form?","San Diego","text","1","","Music","medium","text","standard","false",""
"What lead singer of the band Blind Melon also sang backing vocals on several Guns N' Roses songs?","Shannon Hoon","text","1","","Music","medium","text","standard","false",""
"Daft Punk's funky smash ""Get Lucky"" featuring Pharrell Williams comes from which retro-inspired album?","Random Access Memories","text","1","","Music","medium","mcq","standard","false","Human After All|Discovery|Random Access Memories|Homework"
"What musical term tells musicians to gradually get louder?","Crescendo","text","1","","Music","medium","text","standard","false",""
"Before forming the synth-pop duo Eurythmics, Annie Lennox was the lead singer for which British new wave band?","The Tourists","text","1","","Music","medium","mcq","standard","false","Yazoo|Thompson Twins|The Buggles|The Tourists"
"Before his solo career and Crosby, Stills, Nash & Young, what influential folk-rock group was Neil Young a key member of?","Buffalo Springfield","text","1","","Music","medium","mcq","standard","false","Buffalo Springfield|The Byrds|The Mamas & the Papas|The Lovin' Spoonful"
"After the Sex Pistols imploded, what influential post-punk band did John Lydon (fka Johnny Rotten) immediately form?","Public Image Ltd (PiL)","text","1","","Music","medium","mcq","standard","false","The Clash|Public Image Ltd (PiL)|The Damned|Siouxsie and the Banshees"
"Joseph Smith was the founder of what religion?","Mormonism","text","1","","Religion","medium","mcq","standard","false","Hinduism|Mormonism|Buddhism|Scientology"
"What is the branch of medicine dealing with the skin?","Dermatology","text","1","","Science","medium","text","standard","false",""
"What element has the chemical symbol Cu?","Copper","text","1","","Science","medium","text","standard","false",""
"What winter sport involves sliding stones on ice towards a target?","Curling","text","1","","Sports","medium","text","standard","false",""
"Luke Littler is the current world champion in which sport?","Darts","text","1","","Sports","medium","text","standard","false",""
"In which US city are NFL team the Lions based?","Detroit","text","1","","Sports","medium","text","standard","false",""
"What year was the first iPhone released?","2007","text","1","","Technology","medium","mcq","standard","false","2005|2007|2009|2001"
"This mobile OS held the largest market share in 2012.","iOS","text","1","","Technology","medium","mcq","standard","false","Symbian|Android|iOS|BlackBerry"
"If you are experiencing horripilation, what is happening to your skin?","Goosebumps","text","1","","","medium","mcq","standard","false","A mild rash|Excessive sweating|Sunburn peeling|Goosebumps"
"Elton John's signature song 'Rocket Man' tells the story of a lonely astronaut. From which of his albums did it launch?","Honky Château","text","1","","","medium","mcq","standard","false","Honky Château|Don't Shoot Me I'm Only the Piano Player|Goodbye Yellow Brick Road|Madman Across the Water"
"What is the standard SI unit for temperature?","Kelvin","text","1","","","medium","mcq","standard","false","Celsius|Rankine|Fahrenheit|Kelvin"
"The 'K' in Vitamin K is derived from the Danish and German word for what biological process?","Coagulation","text","1","","","medium","mcq","standard","false","Coagulation|Bone calibration|Kidney function|Potassium balance"
"Which country superstar sang the triumphant end-credits song, 'Ever Ever After,' for the movie 'Enchanted'?","Carrie Underwood","text","1","","","medium","mcq","standard","false","Miranda Lambert|Carrie Underwood|Taylor Swift|Faith Hill"
"What Justin Bieber #1 hit was originally written by Ed Sheeran for his own album ""÷"" (Divide)?","Love Yourself","text","1","","","medium","mcq","standard","false","Sorry|Cold Water|What Do You Mean?|Love Yourself"
"Logan Paul bought a 'Pikachu Illustrator' Pokémon card for a record-breaking price. How much did he pay?","$5,275,000","text","1","","","medium","mcq","standard","false","$1,500,000|$2,780,000|$8,350,000|$5,275,000"
"Which Australian pop singer has an aversion to the clanging sound of clothes hangers?","Kylie Minogue","text","1","","","medium","mcq","standard","false","Sia|Natalie Imbruglia|Iggy Azalea|Kylie Minogue"
"In Gainesville, Georgia, it is illegal to eat what food with a fork?","Fried chicken","text","1","","","medium","mcq","standard","false","Tacos|Fried chicken|Pizza|Hamburgers"
"What Netflix show had the most streaming views in 2021?","Squid Game","text","1","","","medium","mcq","standard","false","Squid Game|Money Heist|The Witcher|Bridgerton"
